Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Zorhan Bassong,SKC,2024,FB,1416,0.07,-0.45,-0.15,0.26,-0.11,-0.17,-0.56,655
Bryan Oviedo,RSL,2024,FB,743,-0.07,-0.25,-0.12,-0.09,0.01,-0.05,-0.57,1449
Sebastián Ferreira,HOU,2024,ST,838,-0.55,0.16,-0.04,-0.57,0.2,0.23,-0.58,34
Jesús Ferreira,FCD,2024,AM,1471,-0.55,-0.13,0.08,-0.14,0.28,-0.12,-0.58,40
Forster Ajago,NSH,2024,ST,469,-0.54,-0.05,0.21,-0.35,0.19,-0.04,-0.59,857
Jacob Shaffelburg,NSH,2024,W,1569,-0.12,0.24,-0.13,-0.53,0.06,-0.11,-0.59,383
Coco Carrasquilla,HOU,2024,W,2562,-0.26,-0.05,-0.18,1.01,-0.82,-0.3,-0.59,234
Oscar Verhoeven,SJE,2024,FB,434,-0.05,0.02,-0.25,-0.16,-0.1,-0.05,-0.6,636
Kevin Long,TOR,2024,CB,2398,-0.14,0.16,-0.29,0.14,-0.29,-0.18,-0.6,473
Mark-Anthony Kaye,NER,2024,DM,1546,-0.32,-0.03,0.23,-0.08,-0.21,-0.19,-0.6,184
José Martínez,PHI,2024,DM,1139,-0.23,0.05,-0.5,0.19,-0.2,0.07,-0.6,1458
Liam Fraser,FCD,2024,CM,1516,-0.22,-0.0,0.2,0.06,-0.45,-0.19,-0.61,498
César Araújo,ORL,2024,DM,2754,-0.06,-0.1,-0.57,0.44,-0.39,0.05,-0.62,199
Latif Blessing,HOU,2024,W,1142,-0.41,-0.11,0.05,-0.27,0.05,0.07,-0.62,198
Cristian Espinoza,SJE,2024,W,3275,0.11,-0.35,-0.23,0.7,-0.65,-0.21,-0.63,45
Jonathan Dean,CHI,2024,FB,1304,-0.15,-0.22,0.7,-0.77,-0.2,0.01,-0.64,598
Gyasi Zardes,ATX,2024,ST,1411,0.01,-0.18,-0.04,0.19,-0.36,-0.26,-0.64,121
Braian Ojeda,RSL,2024,DM,3033,0.2,-0.35,0.24,-0.9,-0.0,0.19,-0.64,235
Dylan Borrero,NER,2024,W,1047,-0.05,-0.09,-0.01,-0.23,-0.4,0.14,-0.64,231
Ryan Sailor,MIA,2024,CB,390,-0.16,-0.22,-0.1,-0.31,0.14,0.01,-0.64,758
Josh Bauer,NSH,2024,CB,2112,-0.07,-0.16,0.19,-0.42,-0.02,-0.16,-0.64,683
Bruno Wilson,SJE,2024,CB,1160,0.17,-0.46,-0.16,-0.15,-0.01,-0.04,-0.65,102
Diego Fagundez,LAG,2024,W,1899,0.07,0.14,-0.24,-0.22,-0.27,-0.13,-0.65,88
Keegan Rosenberry,COL,2024,FB,2957,-0.38,-0.13,-0.46,0.43,-0.13,0.01,-0.66,376
Brad Smith,HOU,2024,W,515,-0.09,-0.04,-0.27,0.03,-0.21,-0.08,-0.66,335
Fidel Barajas,RSL,2024,W,658,-0.19,-0.08,-0.23,0.04,-0.29,0.09,-0.66,1473
Emmanuel Boateng,NER,2024,W,830,-0.58,-0.12,0.02,-0.28,0.3,-0.01,-0.67,529
Robert Taylor,MIA,2024,W,1787,0.07,-0.19,-0.1,-0.39,0.12,-0.17,-0.67,439
Dany Rosero,SKC,2024,CB,2122,-0.02,0.13,-0.67,-0.37,0.16,0.1,-0.67,305
Levonte Johnson,VAN,2024,W,800,-0.26,-0.04,0.03,-0.06,-0.19,-0.16,-0.67,721
Sam Junqua,FCD,2024,CB,2517,0.07,0.09,-0.13,-0.18,-0.47,-0.06,-0.68,512
Andrés Cubas,VAN,2024,CM,2139,-0.1,-0.15,0.55,0.24,-0.78,-0.46,-0.69,98
Miguel Tapias,MIN,2024,CB,2348,-0.03,-0.08,-0.67,0.34,-0.13,-0.12,-0.69,163
Oliver Larraz,COL,2024,DM,2438,-0.34,0.21,0.3,-0.45,-0.28,-0.14,-0.69,629
Emeka Eneli,RSL,2024,DM,3032,0.23,0.21,0.23,-0.73,-0.31,-0.32,-0.7,763
Dominic Iankov,MTL,2024,AM,814,-0.72,-0.05,-0.0,-0.44,0.42,0.1,-0.7,394
Taylor Washington,NSH,2024,FB,858,0.06,-0.24,-0.16,-0.11,-0.16,-0.08,-0.7,716
Hernán López,SJE,2024,AM,1983,-0.76,0.0,0.47,0.71,-1.0,-0.13,-0.71,117
Esmir Bajraktarevic,NER,2024,W,2192,0.44,-0.2,-0.22,0.11,-0.98,0.14,-0.71,600
Miguel Araujo,POR,2024,CB,1785,0.09,-0.11,-0.59,-0.08,-0.04,0.01,-0.72,204
Eddie Segura,LAFC,2024,CB,1542,-0.47,-0.02,-0.43,0.12,-0.02,0.08,-0.73,491
Daniel Ríos,ATL,2024,ST,1564,-0.62,-0.13,-0.17,-0.5,0.54,0.15,-0.73,588
Noah Cobb,ATL,2024,CB,1546,0.05,0.14,-0.51,-0.12,-0.18,-0.12,-0.74,731
Cristhian Paredes,POR,2024,DM,1562,-0.27,-0.06,0.91,-0.58,-0.5,-0.23,-0.74,223
Djibril Diani,CLT,2024,DM,2014,0.13,0.32,0.0,-0.69,-0.2,-0.31,-0.74,458
Pedro Santos,DCU,2024,FB,2085,-0.06,-0.23,-0.05,-0.03,-0.51,0.15,-0.74,323
Ján Greguš,HOU,2024,DM,429,-0.05,0.01,-0.39,-0.17,-0.09,-0.05,-0.75,540
Maikel Chang,RSL,2024,W,497,-0.11,-0.01,-0.02,-0.19,-0.22,-0.19,-0.75,506
Brandon Bye,NER,2024,FB,863,-0.14,-0.04,-0.34,-0.17,-0.01,-0.06,-0.75,384
Ian Murphy,CIN,2024,CB,2625,0.09,-0.06,-0.15,0.16,-0.57,-0.22,-0.76,575
Pedro de la Vega,SEA,2024,W,740,-0.21,-0.08,-0.07,-0.22,-0.2,0.03,-0.76,97
Alessandro Schöpf,VAN,2024,CM,2120,-0.1,0.22,-0.3,-1.0,0.14,0.28,-0.76,126
Nouhou,SEA,2024,FB,2441,0.37,-0.27,0.39,-0.72,-0.41,-0.12,-0.76,270
Jasper Löeffelsend,COL,2024,DM,453,-0.07,-0.03,-0.19,-0.18,-0.25,-0.05,-0.77,486
Kobe Franklin,TOR,2024,FB,846,-0.17,-0.01,-0.14,-0.43,-0.13,0.09,-0.79,649
Scott Arfield,CLT,2024,AM,452,-0.19,-0.05,-0.04,-0.17,-0.2,-0.13,-0.79,1503
Martín Rodríguez,DCU,2024,CM,1460,0.16,-0.03,0.34,-0.46,-0.53,-0.31,-0.82,80
Jon Gallagher,ATX,2024,FB,3014,0.19,-0.14,-0.21,-0.67,0.16,-0.14,-0.82,406
Julián Aude,LAG,2024,FB,1894,-0.12,-0.12,-0.09,-0.4,-0.18,0.1,-0.82,432
Andrés Reyes,NYRB,2024,CB,1708,-0.11,-0.1,-0.39,0.0,-0.18,-0.05,-0.82,197
John Tolkin,NYRB,2024,FB,2708,-0.22,0.37,-0.65,0.12,-0.34,-0.11,-0.83,196
Sebastien Ibeagha,FCD,2024,CB,3167,-0.05,-0.25,-0.16,-0.53,0.22,-0.07,-0.84,218
Iván Angulo,ORL,2024,W,3103,1.0,0.12,0.03,-0.72,-0.81,-0.46,-0.84,290
Benji Kikanović,SJE,2024,FB,1391,-0.03,-0.06,-0.73,-0.01,-0.1,0.07,-0.85,437
Juan Mosquera,POR,2024,FB,3101,0.4,0.13,-1.37,-0.05,0.14,-0.11,-0.86,465
DJ Taylor,MIN,2024,FB,1669,0.05,-0.74,-0.17,0.05,-0.09,0.04,-0.86,526
Kosi Thompson,TOR,2024,CM,1313,0.05,0.01,0.24,-0.59,-0.35,-0.21,-0.86,653
Dairon Asprilla,POR,2024,ST,818,-0.25,-0.1,0.02,-0.23,-0.16,-0.15,-0.87,1515
Zac McGraw,POR,2024,CB,988,-0.27,0.06,-0.41,-0.12,-0.07,-0.06,-0.87,524
Matty Longstaff,TOR,2024,CM,2472,-0.15,-0.38,-0.15,-0.02,0.03,-0.21,-0.87,510
Nicksoen Gomis,TOR,2024,CB,2274,-0.18,0.04,0.26,-0.3,-0.45,-0.25,-0.88,838
Aaron Boupendza,CIN,2024,ST,655,-0.06,-0.06,0.04,-0.29,-0.42,-0.08,-0.88,1519
Derrick Etienne Jr.,"TOR, ATL",2024,AM,1847,0.01,-0.13,0.16,-1.05,0.3,-0.19,-0.88,202
Omir Fernández,COL,2024,W,1888,-0.84,0.5,0.08,-0.28,-0.01,-0.32,-0.89,246
Júnior Urso,CLT,2024,DM,1171,-0.22,-0.09,0.06,-0.81,0.09,0.09,-0.89,463
Daniel Steres,HOU,2024,FB,1343,0.0,0.03,-1.15,-0.02,0.15,0.1,-0.9,317
Mathieu Choinière,MTL,2024,CM,1707,-0.33,0.12,0.26,-0.48,-0.31,-0.18,-0.91,1524
Christopher McVey,DCU,2024,CB,2458,0.03,0.06,-0.6,-0.43,0.08,-0.05,-0.91,474
Dru Yearwood,NSH,2024,DM,1661,-0.08,0.18,-0.19,-0.35,-0.45,-0.03,-0.92,261
Logan Farrington,FCD,2024,ST,1455,-0.19,-0.28,-0.25,0.2,-0.48,0.06,-0.93,877
Justin Haak,NYC,2024,CB,938,-0.12,-0.02,-0.38,0.02,-0.33,-0.09,-0.93,546
Jackson Hopkins,DCU,2024,DM,1091,-0.06,0.06,-0.27,-0.28,-0.29,-0.09,-0.93,705
Léo Chú,SEA,2024,W,776,-0.17,-0.02,-0.04,-0.32,-0.19,-0.21,-0.94,283
Mateusz Klich,DCU,2024,CM,3047,-0.86,-0.16,-0.17,1.09,-0.51,-0.33,-0.94,42
Matai Akinmboni,DCU,2024,CB,503,0.03,-0.23,-0.05,-0.45,-0.17,-0.08,-0.95,658
Allan Arigoni,CHI,2024,FB,2377,-0.41,-0.28,-0.49,0.05,0.17,0.02,-0.95,333
Nicholas Gioacchini,CIN,2024,ST,492,0.05,0.06,0.19,-0.54,-0.47,-0.25,-0.96,39
Žan Kolmanič,ATX,2024,FB,619,-0.06,-0.0,-0.16,-0.54,-0.11,-0.09,-0.96,420
Yaw Yeboah,CLB,2024,FB,1211,0.36,-0.27,-0.79,-1.04,0.53,0.24,-0.97,232
Aimé Mabika,TOR,2024,CB,551,-0.03,-0.25,-0.77,0.09,0.06,-0.07,-0.97,577
Xherdan Shaqiri,CHI,2024,AM,820,-0.23,-0.09,-0.21,0.34,-0.46,-0.33,-0.97,1538
Kerwin Vargas,CLT,2024,W,2713,-0.45,0.25,0.12,0.08,-0.74,-0.24,-0.98,355
Reed Baker-Whiting,SEA,2024,FB,932,-0.29,-0.03,0.19,-0.26,-0.38,-0.21,-0.98,602
Omar Campos,LAFC,2024,FB,1826,0.35,-0.23,-0.51,-0.23,-0.24,-0.15,-1.01,227
Mateusz Bogusz,LAFC,2024,ST,2871,-1.35,-0.16,-0.41,1.04,-0.31,0.16,-1.01,228
Devin Padelford,MIN,2024,CB,1815,-0.0,0.05,-0.55,0.09,-0.39,-0.21,-1.01,671
Owen Wolff,ATX,2024,W,2047,0.05,-0.01,0.15,-0.44,-0.35,-0.42,-1.02,596
Strahinja Tanasijević,NYC,2024,CB,1162,0.04,-0.0,-0.59,-0.1,-0.26,-0.1,-1.02,448
Wikelman Carmona,NYRB,2024,W,1782,-0.42,-0.09,0.24,0.14,-0.85,-0.04,-1.03,542
Rémi Walter,SKC,2024,DM,1441,-0.18,0.08,0.03,-0.45,-0.42,-0.11,-1.04,139
Rafael Santos,ORL,2024,FB,2371,-0.6,0.05,-0.31,0.44,-0.54,-0.09,-1.05,417
Dennis Gjengaar,NYRB,2024,W,1102,-0.77,-0.1,0.2,-0.58,0.37,-0.18,-1.06,379
Jeong Sang-Bin,MIN,2024,W,2434,-0.95,0.12,-0.6,-0.5,0.87,-0.03,-1.08,220
Dániel Sallói,SKC,2024,W,2349,-0.37,-0.1,0.04,-0.12,-0.56,0.02,-1.09,91
Eric Miller,POR,2024,FB,1196,-0.62,0.04,0.09,-0.31,-0.23,-0.07,-1.09,765
Giacomo Vrioni,NER,2024,ST,2467,-1.44,-0.28,-0.23,-0.99,1.47,0.36,-1.1,47
David Ruiz,MIA,2024,CM,1297,-0.76,0.03,0.29,-0.63,0.02,-0.09,-1.14,815
Njabulo Blom,STL,2024,DM,1012,-0.11,0.04,-0.18,-0.47,-0.25,-0.16,-1.14,385
Kevin Kelsy,CIN,2024,ST,1394,-0.44,-0.0,0.15,-0.19,-0.53,-0.14,-1.15,324
Kyle Duncan,NYRB,2024,FB,1446,-0.2,-0.42,-0.19,0.08,-0.38,-0.05,-1.16,279
Dante Sealy,FCD,2024,FB,984,-0.31,-0.04,-0.31,-0.62,0.02,0.1,-1.16,459
Olivier Mbaizo,PHI,2024,FB,1261,-0.22,-0.26,-0.43,-0.04,-0.16,-0.08,-1.18,363
Federico Navarro,CHI,2024,DM,791,-0.57,0.01,0.66,-0.86,-0.29,-0.14,-1.19,277
Corey Baird,CIN,2024,ST,1089,0.0,-0.09,-0.34,-0.47,-0.34,0.03,-1.19,201
Raúl Ruidíaz,SEA,2024,ST,1504,-1.36,0.12,-0.08,-0.23,-0.45,0.78,-1.23,28
Ezequiel Ponce,HOU,2024,ST,810,-0.23,-0.15,-0.39,-0.74,0.11,0.16,-1.25,27
Marco Farfan,FCD,2024,FB,2262,-0.34,0.17,-0.39,-0.58,0.07,-0.18,-1.25,288
Deandre Kerr,TOR,2024,ST,1133,-0.36,-0.1,-0.2,-0.25,-0.37,0.02,-1.26,630
Matti Peltola,DCU,2024,CB,2552,-0.13,-0.14,0.57,-0.64,-0.67,-0.24,-1.26,179
Edwin Cerrillo,LAG,2024,DM,2325,-0.17,-0.07,0.71,-0.71,-0.57,-0.44,-1.26,368
Ian Harkes,NER,2024,DM,1792,-0.2,-0.01,-0.24,-0.51,-0.24,-0.06,-1.27,468
Olivier Giroud,LAFC,2024,ST,663,-0.06,-0.06,-0.13,-0.32,-0.42,-0.29,-1.28,17
Birk Risa,NYC,2024,CB,2511,-0.33,0.22,-0.86,0.25,-0.34,-0.23,-1.29,187
Sean Davis,NSH,2024,DM,1487,-0.19,0.05,-0.02,-0.54,-0.31,-0.27,-1.29,116
Jesús Murillo,LAFC,2024,CB,1922,-0.02,0.0,-0.91,-0.07,-0.27,-0.06,-1.32,274
Patrickson Delgado,FCD,2024,CM,1296,-0.52,-0.27,0.31,-0.7,-0.11,-0.05,-1.34,536
Prince Owusu,TOR,2024,ST,2074,-0.75,0.04,-0.43,-0.65,0.63,-0.19,-1.35,165
Peter Stroud,NYRB,2024,CM,946,-0.35,-0.25,0.12,-0.29,-0.31,-0.27,-1.35,618
Leon Flach,PHI,2024,DM,2027,-0.29,0.06,-0.03,-0.1,-0.62,-0.38,-1.36,445
Diego Chara,POR,2024,DM,2728,-0.07,-0.49,-0.1,0.29,-0.53,-0.48,-1.38,306
Mason Toye,"POR, MTL",2024,ST,725,-0.5,-0.08,-0.13,-0.65,0.02,-0.05,-1.38,237
Julian Gressel,MIA,2024,W,2521,-0.98,-0.05,-0.06,0.08,-0.18,-0.21,-1.4,106
Indiana Vassilev,STL,2024,W,2075,-0.56,-0.13,-0.26,-0.21,-0.05,-0.19,-1.4,454
Diego Rossi,CLB,2024,AM,2970,-0.1,0.03,-0.49,-2.08,0.81,0.42,-1.4,22
Niko Tsakiris,SJE,2024,DM,1611,-0.33,-0.13,-0.44,-0.26,-0.2,-0.04,-1.4,609
Yannick Bright,MIA,2024,CM,1624,-0.4,-0.27,0.98,-0.82,-0.49,-0.39,-1.41,804
Brecht Dejaegere,CLT,2024,W,1063,-0.43,-0.11,-0.24,-0.16,-0.14,-0.35,-1.43,1584
Nick Lima,NER,2024,FB,2032,-0.29,-0.22,0.11,-0.79,-0.12,-0.12,-1.43,405
Fabian Herbers,CHI,2024,CM,2329,0.26,-0.12,-0.35,-0.85,-0.42,0.03,-1.45,365
Tristan Muyumba,ATL,2024,CM,2366,0.07,-0.44,-0.06,-0.73,-0.31,-0.01,-1.47,272
Diego Rubio,ATX,2024,ST,2097,-0.82,0.37,-0.03,0.19,-0.71,-0.48,-1.48,386
John Nelson,LAG,2024,FB,1324,-0.09,0.08,-1.12,-0.16,-0.13,-0.11,-1.52,464
Leonardo Campana,MIA,2024,ST,1468,-0.98,-0.14,0.14,-0.98,0.37,0.05,-1.54,192
Wil Trapp,MIN,2024,CM,2574,-0.51,-0.09,-0.27,0.18,-0.6,-0.26,-1.55,351
Joakim Nilsson,STL,2024,CB,1373,-0.17,-0.15,-1.27,0.03,-0.06,0.05,-1.58,95
Lalas Abubakar,COL,2024,CB,1445,0.01,-0.12,-1.01,-0.21,-0.13,-0.12,-1.58,207
Nathan Byrne,CLT,2024,FB,3168,0.4,0.08,-0.93,-0.22,-0.58,-0.33,-1.6,252
Jhojan Valencia,ATX,2024,DM,1642,-0.28,-0.2,-0.35,-0.29,-0.35,-0.16,-1.64,319
Robert Voloder,SKC,2024,CB,1978,-0.43,0.17,-0.63,-0.15,-0.39,-0.21,-1.64,331
Ethan Finlay,ATX,2024,W,955,-0.58,-0.07,-0.06,-0.25,-0.3,-0.39,-1.64,450
Ema Twumasi,FCD,2024,FB,1351,0.01,-0.44,-0.44,-0.48,-0.18,-0.13,-1.66,389
Shane O'Neill,TOR,2024,CB,1289,-0.32,-0.48,-0.26,-0.22,-0.26,-0.17,-1.7,367
Martín Ojeda,ORL,2024,AM,2127,-0.88,-0.18,0.06,-1.41,0.54,0.14,-1.72,128
Raoul Petretta,TOR,2024,CB,2096,-0.34,0.16,-1.2,-0.33,-0.06,0.03,-1.74,181
Dani Pereira,ATX,2024,DM,2283,-0.07,0.09,-0.45,-0.49,-0.53,-0.3,-1.75,573
Jere Uronen,CLT,2024,FB,2408,-0.18,0.12,-0.41,-0.8,-0.35,-0.15,-1.78,269
Hugo Cuypers,CHI,2024,ST,2903,-0.22,-0.39,0.14,-0.37,-0.97,0.02,-1.79,20
Alex Ring,ATX,2024,DM,2930,-0.28,-1.04,-0.34,-0.65,0.35,0.17,-1.79,57
Andrew Brody,RSL,2024,FB,2418,0.07,0.1,-1.08,-0.06,-0.61,-0.28,-1.86,455
Sigurd Rosted,TOR,2024,CB,1958,-0.77,-0.09,-0.42,-0.16,-0.34,-0.12,-1.89,180
Jáder Obrian,ATX,2024,W,2459,0.58,-0.03,-0.11,-1.7,-0.36,-0.35,-1.97,282
Brian Anunga,NSH,2024,DM,1659,-0.49,-0.38,0.23,-0.61,-0.44,-0.3,-1.99,460
Brandt Bronico,CLT,2024,AM,1924,-0.23,-0.18,-0.19,-1.05,-0.04,-0.31,-2.0,390
Jonathan Osorio,TOR,2024,AM,2095,0.09,0.15,-0.17,-0.84,-0.77,-0.48,-2.02,158
Jeremy Ebobisse,SJE,2024,ST,2117,-0.14,0.09,-0.33,-0.33,-0.87,-0.48,-2.05,119
Obinna Nwobodo,CIN,2024,CM,2762,-0.11,-0.5,0.52,-0.53,-0.96,-0.5,-2.07,75
Kyle Hiebert,STL,2024,CB,1560,-0.11,-0.15,-1.21,-0.23,-0.24,-0.15,-2.08,527
Daniel Edelman,NYRB,2024,CM,2846,0.04,0.03,-1.29,0.46,-0.84,-0.51,-2.12,393
Teal Bunbury,NSH,2024,ST,1308,-0.93,-0.14,0.0,-0.46,-0.31,-0.31,-2.15,469
Ariel Lassiter,"CHI, MTL",2024,FB,2279,-0.37,0.01,-0.44,-1.06,-0.41,0.1,-2.17,490
Miki Yamane,LAG,2024,FB,3288,-0.69,-0.23,-0.15,-0.93,0.09,-0.26,-2.17,250
Matt Polster,NER,2024,DM,2933,-0.55,0.03,-0.51,-0.56,-0.23,-0.36,-2.18,264
Samuel Piette,MTL,2024,CM,2348,-0.44,-0.19,-0.42,-0.1,-0.75,-0.33,-2.23,359
Bryce Duke,MTL,2024,AM,2379,-0.4,-0.08,-0.63,-0.29,-0.65,-0.31,-2.36,371
Sebastian Kowalczyk,HOU,2024,ST,2389,0.21,-0.21,-0.16,-0.26,-1.74,-0.26,-2.43,292
Carlos Gruezo,SJE,2024,DM,2175,-0.32,-0.34,-0.41,-0.7,-0.55,-0.2,-2.52,55
Kellyn Acosta,CHI,2024,CM,2575,-0.46,-0.07,-0.81,-0.49,-0.47,-0.21,-2.52,63
Ibrahim Aliyu,HOU,2024,W,2912,-0.7,-0.33,-0.21,-1.54,-0.21,0.28,-2.72,312
Darlington Nagbe,CLB,2024,CM,2653,-0.17,0.11,-0.67,-0.75,-0.87,-0.58,-2.93,65
Alan Pulido,SKC,2024,ST,2182,-0.37,-0.16,-0.21,-1.18,-1.14,-0.33,-3.38,15
