"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Riqui Puig","LAG","2024","CM","2874","3.00","0.68","-0.71","3.58","-0.12","1.63","8.06"
"","Christian Benteke","DCU","2024","ST","2958","0.11","-0.09","-0.41","0.64","4.96","0.91","6.13"
"","Cucho Hernández","CLB","2024","ST","2369","1.75","-0.20","0.31","2.49","0.12","1.47","5.94"
"","Dénis Bouanga","LAFC","2024","W","3074","0.65","1.02","0.31","-0.11","2.23","1.79","5.90"
"","Gabriel Pec","LAG","2024","W","3061","3.13","-0.23","-0.42","0.05","1.45","1.76","5.75"
"","Lionel Messi","MIA","2024","W","1690","1.24","0.18","-0.37","1.92","0.87","1.63","5.47"
"","Luciano Acosta","CIN","2024","AM","3068","3.13","0.02","0.45","1.68","-0.38","0.36","5.27"
"","Federico Bernardeschi","TOR","2024","FB","2765","2.69","0.41","-0.03","-0.27","0.66","1.61","5.07"
"","Luca Orellano","CIN","2024","FB","2905","2.30","-0.11","-0.16","-0.15","0.84","1.37","4.09"
"","Jonathan Rodríguez","POR","2024","W","2723","0.39","0.03","-0.45","-0.29","2.73","1.27","3.68"
"","Jordan Morris","SEA","2024","ST","3084","1.15","0.30","-0.67","-0.40","2.92","0.10","3.41"
"","Evander","POR","2024","AM","2780","-0.28","0.13","-0.14","2.61","0.35","0.71","3.38"
"","Kai Wagner","PHI","2024","FB","3290","-0.22","0.57","0.71","2.31","-0.19","-0.01","3.17"
"","Saba Lobjanidze","ATL","2024","W","2728","0.67","0.17","-0.00","-0.99","2.27","1.02","3.14"
"","Felipe Mora","POR","2024","ST","2109","0.76","0.50","-0.41","-0.85","2.38","0.61","3.00"
"","Andrés Gómez","RSL","2024","W","2018","0.57","-0.13","-0.11","0.69","0.92","1.04","2.98"
"","Robin Lod","MIN","2024","CM","2669","0.11","-0.07","0.47","3.06","-0.60","-0.02","2.94"
"","William Agada","SKC","2024","ST","1947","-1.02","-0.25","0.20","-0.68","3.66","0.97","2.87"
"","Santiago Rodríguez","NYC","2024","AM","3172","0.18","0.20","-0.04","2.34","-0.20","0.34","2.83"
"","Cristian Olivera","LAFC","2024","W","1866","0.32","-0.20","0.32","-0.36","1.83","0.78","2.69"
"","Aaron Herrera","DCU","2024","FB","2982","0.22","0.10","0.85","1.37","-0.01","0.09","2.62"
"","Thiago Almada","ATL","2024","AM","1580","0.82","0.01","0.17","1.55","-0.40","0.45","2.59"
"","Luis Suárez","MIA","2024","ST","2165","0.03","-0.14","-0.33","0.29","1.41","1.11","2.37"
"","Timothy Tillman","LAFC","2024","CM","2768","0.15","0.33","1.31","1.04","-0.52","0.02","2.33"
"","Jack Elliott","PHI","2024","CB","2695","-0.03","-0.30","2.06","0.44","-0.02","0.16","2.31"
"","Patrick Agyemang","CLT","2024","ST","2070","0.87","0.12","0.02","0.45","0.54","0.29","2.28"
"","Walker Zimmerman","NSH","2024","CB","2155","0.40","0.43","1.35","0.00","-0.00","-0.00","2.17"
"","Joseph Rosales","MIN","2024","FB","2680","0.30","-0.02","0.96","0.29","0.22","0.40","2.14"
"","Cristian Arango","RSL","2024","ST","2571","0.14","-0.29","0.39","0.45","0.66","0.71","2.06"
"","Cole Bassett","COL","2024","DM","2896","0.80","-0.02","-0.93","0.53","0.89","0.79","2.06"
"","Maya Yoshida","LAG","2024","CB","3440","-0.18","0.58","0.30","1.03","0.08","0.18","1.99"
"","Lewis Morgan","NYRB","2024","ST","2717","0.70","0.50","-0.63","1.68","-0.97","0.70","1.97"
"","Héctor Herrera","HOU","2024","DM","1807","0.50","0.06","-0.53","1.34","0.36","0.20","1.93"
"","Ryan Hollingshead","LAFC","2024","FB","2473","-0.29","-0.01","1.43","0.13","0.46","0.18","1.91"
"","Gabriele Corbo","MTL","2024","CB","1980","0.35","0.06","1.39","0.58","-0.43","-0.08","1.88"
"","Tani Oluwaseyi","MIN","2024","ST","1262","-0.34","-0.14","-0.14","0.45","1.78","0.27","1.88"
"","Carles Gil","NER","2024","AM","2566","1.50","-0.28","0.09","2.29","-1.44","-0.37","1.79"
"","Andrew Privett","CLT","2024","CB","3044","0.28","0.29","1.42","0.20","-0.30","-0.20","1.70"
"","Rafael Czichos","CHI","2024","CB","2685","0.17","0.43","0.54","0.40","0.15","0.01","1.69"
"","Mark Delgado","LAG","2024","CM","2759","0.34","0.02","0.91","1.10","-0.35","-0.37","1.65"
"","Brayan Vera","RSL","2024","CB","2388","0.21","0.17","1.20","0.47","-0.49","0.10","1.65"
"","Tim Ream","CLT","2024","FB","883","0.07","0.08","0.98","0.37","0.08","0.01","1.58"
"","Cameron Harper","NYRB","2024","W","1588","1.12","0.19","-0.37","0.14","0.12","0.37","1.56"
"","Julián Carranza","PHI","2024","ST","1224","-0.48","-0.09","0.24","0.15","1.34","0.40","1.56"
"","Sergio Busquets","MIA","2024","DM","2834","-0.41","-0.11","1.34","1.52","-0.39","-0.40","1.55"
"","Eduard Löwen","STL","2024","DM","2106","0.29","0.19","-0.25","1.28","-0.36","0.41","1.55"
"","Sam Surridge","NSH","2024","ST","2671","1.47","-0.19","-0.00","-0.38","0.27","0.36","1.54"
"","Alonso Martínez","NYC","2024","ST","1668","-0.43","-0.26","0.59","-0.34","1.48","0.47","1.51"
"","Santiago Moreno","POR","2024","W","2738","-0.50","-0.10","0.37","1.73","0.15","-0.14","1.49"
"","Miles Robinson","CIN","2024","CB","2529","0.32","0.04","0.34","1.00","-0.16","-0.06","1.47"
"","Fafa Picault","VAN","2024","W","1879","-0.20","0.25","0.17","-0.58","1.41","0.40","1.44"
"","Jordi Alba","MIA","2024","FB","2558","-0.23","0.06","-0.06","0.69","0.97","-0.00","1.43"
"","Djordje Mihailovic","COL","2024","AM","2778","-0.24","0.42","-0.04","1.18","0.25","-0.15","1.42"
"","Julio Cascante","ATX","2024","CB","2105","0.00","0.03","0.81","-0.21","0.80","-0.01","1.42"
"","Nathan Harriel","PHI","2024","FB","2698","-0.18","0.75","0.06","-0.08","0.64","0.23","1.42"
"","Hannes Wolf","NYC","2024","W","2842","0.60","0.05","-0.01","0.36","0.50","-0.08","1.42"
"","Brian White","VAN","2024","ST","2709","-1.11","-0.31","0.36","-0.45","2.97","-0.04","1.41"
"","Joel Waterman","MTL","2024","CB","2391","0.21","-0.08","1.31","0.60","-0.46","-0.18","1.40"
"","Justen Glad","RSL","2024","CB","2574","-0.02","0.21","1.23","0.14","-0.09","-0.06","1.40"
"","Ryan Gauld","VAN","2024","W","2724","0.01","-0.28","0.84","1.73","-0.64","-0.26","1.40"
"","Kévin Cabral","COL","2024","W","1463","-0.07","0.42","-0.36","-0.53","1.62","0.32","1.39"
"","Cristian Roldan","SEA","2024","DM","3174","-0.11","0.06","0.97","0.54","0.08","-0.17","1.38"
"","Christian Ramírez","CLB","2024","AM","1582","-0.38","-0.16","-0.08","0.09","1.46","0.43","1.36"
"","Erik Thommy","SKC","2024","CM","2576","0.75","0.70","-0.28","-0.92","0.13","0.97","1.35"
"","Liel Abada","CLT","2024","W","1799","0.40","-0.11","-0.15","0.43","0.23","0.53","1.33"
"","João Klauss","STL","2024","ST","2186","-0.09","0.05","0.10","0.02","0.88","0.34","1.29"
"","Edwin Mosquera","ATL","2024","W","771","1.25","0.08","-0.07","-0.10","0.05","0.08","1.29"
"","Georgios Koutsias","CHI","2024","ST","1018","1.19","0.17","-0.07","-0.45","0.30","0.13","1.27"
"","Gastón Brugman","LAG","2024","DM","1385","0.14","-0.27","0.92","0.64","-0.15","-0.01","1.27"
"","Jake Davis","SKC","2024","FB","2476","-0.26","0.04","1.67","0.14","-0.28","-0.08","1.24"
"","Jakob Glesnes","PHI","2024","CB","3182","0.05","0.29","0.35","0.80","-0.29","0.04","1.24"
"","Hany Mukhtar","NSH","2024","AM","3074","0.13","0.25","-0.18","0.39","-0.13","0.77","1.23"
"","Eduard Atuesta","LAFC","2024","CM","2430","-0.10","-0.13","-0.16","1.41","0.07","0.14","1.23"
"","Stian Gregersen","ATL","2024","CB","1987","0.31","0.05","0.51","0.04","0.17","0.15","1.23"
"","Nökkvi Thórisson","STL","2024","W","1419","-0.36","-0.43","-0.40","0.09","1.77","0.55","1.22"
"","Tai Baribo","PHI","2024","ST","1587","-0.34","-0.15","0.03","-0.44","1.65","0.45","1.20"
"","Ramiro Enrique","ORL","2024","ST","1229","0.56","-0.06","0.38","-0.50","0.54","0.28","1.19"
"","Jack McGlynn","PHI","2024","CM","2613","0.37","0.05","-0.11","1.24","-0.68","0.29","1.16"
"","Robin Jansson","ORL","2024","CB","3044","-0.00","0.32","0.69","0.74","-0.39","-0.21","1.14"
"","Carlos Akapo","SJE","2024","FB","1781","0.17","0.11","0.53","0.04","0.24","0.06","1.14"
"","Sebastian Lletget","FCD","2024","CM","2094","-0.27","-0.14","0.53","0.51","0.72","-0.23","1.12"
"","Brooks Lennon","ATL","2024","FB","3357","0.39","-0.08","0.86","-0.26","0.42","-0.23","1.11"
"","Alhassan Yusuf","NER","2024","DM","486","0.14","0.04","0.27","0.52","0.00","0.13","1.10"
"","Carlos Terán","CHI","2024","CB","1373","-0.14","0.07","0.50","0.49","0.12","0.06","1.10"
"","Adilson Malanda","CLT","2024","CB","3271","0.37","0.02","0.50","0.83","-0.47","-0.19","1.06"
"","Iuri Tavares","CLT","2024","W","1082","-0.34","0.19","0.16","0.33","0.62","0.09","1.06"
"","Anderson Julio","RSL","2024","ST","1596","0.28","0.01","0.44","-1.19","1.21","0.29","1.03"
"","Elias Manoel","NYRB","2024","ST","1771","-0.42","0.32","-0.38","-0.37","1.60","0.28","1.02"
"","Matías Cóccaro","MTL","2024","ST","1032","0.67","0.39","0.19","-0.38","0.12","0.01","1.00"
"","Tanner Beason","SJE","2024","CB","1857","-0.37","0.10","1.80","-0.15","-0.18","-0.21","0.98"
"","Darren Yapi","COL","2024","ST","939","0.52","0.50","0.16","-0.12","0.17","-0.26","0.97"
"","Dylan Nealis","NYRB","2024","FB","2659","0.07","0.13","-0.09","0.14","0.51","0.18","0.95"
"","Michael Boxall","MIN","2024","CB","3215","-0.16","0.36","1.76","-1.12","0.17","-0.09","0.93"
"","Nkosi Tafari","FCD","2024","CB","2573","-0.25","0.04","0.57","0.19","0.13","0.23","0.91"
"","Claudio Bravo","POR","2024","FB","1787","0.34","-0.25","0.48","0.57","-0.29","0.05","0.91"
"","David Martínez","LAFC","2024","W","540","0.45","-0.05","-0.09","0.23","-0.06","0.41","0.89"
"","Tim Parker","NER, STL","2024","CB","2481","0.04","0.22","-0.27","0.74","0.08","0.08","0.89"
"","Aidan Morris","CLB","2024","CM","1456","0.17","0.33","0.66","0.02","-0.36","0.07","0.89"
"","Steven Moreira","CLB","2024","CB","2430","-0.08","0.17","0.54","0.42","-0.07","-0.09","0.88"
"","Connor Ronan","COL","2024","DM","2030","0.20","0.02","-0.07","1.51","-0.49","-0.29","0.87"
"","Yevhen Cheberko","CLB","2024","CB","1930","0.09","0.10","-0.11","0.94","-0.08","-0.07","0.87"
"","Damion Lowe","PHI","2024","CB","1100","-0.08","0.05","0.51","0.01","0.31","0.05","0.85"
"","Alejandro Bedoya","PHI","2024","CM","1677","-0.25","-0.07","0.40","0.60","0.17","-0.02","0.83"
"","Pedro Amador","ATL","2024","FB","915","0.15","0.09","0.36","0.31","-0.09","0.00","0.83"
"","Diego Gómez","MIA","2024","W","1512","0.02","-0.13","0.24","0.36","0.28","0.04","0.81"
"","Hassani Dotson","MIN","2024","CM","2520","0.11","0.34","-0.11","0.48","-0.29","0.26","0.79"
"","Rafael Navarro","COL","2024","ST","3063","1.66","0.51","0.22","-0.84","-0.87","0.11","0.79"
"","Mikael Uhre","PHI","2024","ST","2255","0.73","-0.23","-0.00","-0.26","0.56","-0.01","0.78"
"","Tomas Totland","STL","2024","FB","2809","-0.03","0.11","0.22","-0.07","0.54","0.01","0.78"
"","Carlos Harvey","MIN","2024","CB","1188","0.01","0.15","0.82","-0.01","-0.20","-0.00","0.77"
"","Andreu Fontàs","SKC","2024","CB","1576","0.06","0.17","-0.08","1.02","-0.25","-0.15","0.76"
"","Karol Swiderski","CLT","2024","ST","576","-0.06","-0.01","0.15","0.34","-0.02","0.35","0.76"
"","Brent Kallman","NSH","2024","CB","631","-0.10","0.03","0.61","-0.05","0.14","0.13","0.76"
"","Luis Muriel","ORL","2024","ST","1819","-0.09","0.08","0.15","1.83","-1.02","-0.19","0.76"
"","Petar Musa","FCD","2024","ST","2566","-0.85","0.22","0.56","0.95","-0.43","0.31","0.75"
"","Jamal Thiaré","ATL","2024","ST","1311","0.44","0.37","0.23","-1.36","1.28","-0.21","0.75"
"","Joseph Paintsil","LAG","2024","W","2546","-0.59","0.35","-0.29","-1.06","1.79","0.55","0.74"
"","Alvas Powell","CIN","2024","CB","908","0.31","0.21","0.22","-0.10","0.03","0.07","0.74"
"","Georgios Giakoumakis","ATL","2024","ST","807","-0.14","0.42","-0.00","-0.17","0.29","0.35","0.73"
"","Leo Afonso","MIA","2024","W","326","0.53","0.23","0.08","-0.33","0.20","0.02","0.73"
"","Kervin Arriaga","MIN","2024","CB","1011","-0.15","0.07","0.45","0.11","0.02","0.22","0.71"
"","Kipp Keller","CIN","2024","CB","945","0.11","0.11","0.37","-0.08","0.17","0.01","0.69"
"","Bongokuhle Hlongwane","MIN","2024","W","2144","-0.40","-0.21","0.03","-0.78","1.51","0.54","0.69"
"","Mathías Laborda","VAN","2024","CB","2166","-0.28","-0.10","0.29","-0.08","0.53","0.32","0.69"
"","Yamil Asad","CIN","2024","FB","975","0.13","0.11","-0.09","0.02","0.23","0.28","0.69"
"","Alex Roldan","SEA","2024","FB","2542","-0.28","0.14","0.92","-0.19","0.02","0.06","0.68"
"","Benjamin Cremaschi","MIA","2024","CM","1294","0.13","0.00","0.28","-0.52","0.55","0.21","0.66"
"","Garrison Tubbs","DCU","2024","CB","655","0.02","0.22","0.42","-0.27","0.29","-0.03","0.65"
"","Agustín Ojeda","NYC","2024","W","1103","0.28","-0.08","0.01","-0.19","0.44","0.19","0.65"
"","Paul Rothrock","SEA","2024","W","1476","0.18","0.38","-0.01","-0.49","0.35","0.23","0.64"
"","Sam Adeniran","PHI, STL","2024","ST","873","0.05","-0.14","-0.07","0.13","0.53","0.15","0.64"
"","Ali Ahmed","VAN","2024","FB","1519","0.80","-0.03","0.15","-0.56","0.19","0.08","0.64"
"","Malachi Jones","NYC","2024","W","579","0.28","0.04","0.07","-0.28","0.43","0.10","0.63"
"","Jacob Murrell","DCU","2024","ST","1113","-0.17","-0.07","-0.16","0.03","0.70","0.30","0.63"
"","Sergi Palencia","LAFC","2024","FB","2563","-0.03","0.02","0.41","0.55","-0.12","-0.22","0.61"
"","Daniel Lovitz","NSH","2024","FB","2545","-0.21","0.20","0.83","0.47","-0.41","-0.29","0.59"
"","Erik Sviatchenko","HOU","2024","CB","2713","-0.21","0.26","-0.12","-0.48","0.57","0.56","0.59"
"","Sebastián Driussi","ATX","2024","AM","2549","-0.50","0.33","-0.09","0.41","0.23","0.21","0.58"
"","Noah Eile","NYRB","2024","CB","2739","-0.05","-0.10","-0.01","0.80","-0.01","-0.06","0.58"
"","Amahl Pellegrino","SJE","2024","W","1903","-0.56","-0.28","-0.00","-0.47","1.42","0.44","0.56"
"","Chris Mueller","CHI","2024","W","1520","0.86","0.11","-0.43","-0.08","0.15","-0.04","0.56"
"","Célio Pompeu","STL","2024","W","1404","0.51","-0.10","0.15","0.60","-0.52","-0.07","0.56"
"","Asier Illarramendi","FCD","2024","CM","2200","-0.22","-0.33","0.94","0.51","-0.45","0.10","0.56"
"","Ethan Bartlow","HOU","2024","CB","975","0.18","0.04","0.66","0.12","-0.33","-0.13","0.54"
"","Josh Yaro","STL","2024","CB","915","-0.12","0.09","0.63","-0.11","0.09","-0.04","0.54"
"","George Campbell","MTL","2024","CB","2462","0.16","0.05","0.07","0.82","-0.32","-0.26","0.53"
"","Marcelo Weigandt","MIA","2024","FB","2268","-0.15","-0.20","0.84","-0.16","0.21","-0.02","0.53"
"","Yeimar Gómez Andrade","SEA","2024","CB","2769","0.09","0.14","0.45","-0.16","-0.12","0.11","0.51"
"","Andrés Perea","NYC","2024","DM","1446","-0.20","0.28","-0.33","-0.36","1.03","0.08","0.50"
"","Josef Martínez","MTL","2024","ST","1528","-0.57","-0.19","-0.20","-0.34","1.42","0.37","0.50"
"","Jesús Bueno","PHI","2024","CM","738","-0.03","0.03","0.14","-0.30","0.47","0.19","0.49"
"","Cory Burke","NYRB","2024","ST","404","-0.38","-0.05","-0.02","0.22","0.68","0.03","0.49"
"","Ranko Veselinović","VAN","2024","CB","3092","0.09","0.07","0.81","-0.40","-0.02","-0.08","0.47"
"","Michael Edwards","COL","2024","CB","236","-0.03","0.03","0.12","-0.05","0.33","0.04","0.44"
"","Lassi Lappalainen","MTL","2024","FB","395","0.13","0.01","0.16","0.02","-0.04","0.15","0.43"
"","Sergii Kryvtsov","MIA","2024","CB","1572","0.20","0.13","0.34","-0.04","-0.17","-0.04","0.42"
"","Wilder Cartagena","ORL","2024","DM","2499","0.43","-0.03","-0.35","0.76","-0.36","-0.03","0.42"
"","Jack Maher","NSH","2024","CB","2721","0.02","-0.28","0.75","0.12","-0.02","-0.19","0.41"
"","Amine Bassi","HOU","2024","AM","2788","0.73","0.04","-0.23","0.08","-0.16","-0.05","0.40"
"","Danny Musovski","SEA","2024","ST","656","0.13","-0.07","-0.16","0.13","0.35","0.01","0.40"
"","Nacho Gil","NER","2024","W","737","0.01","-0.08","0.18","0.11","0.18","-0.01","0.39"
"","Facundo Torres","ORL","2024","W","2951","-0.78","0.13","-0.59","-0.00","1.31","0.32","0.38"
"","John Klein","STL","2024","W","630","-0.07","-0.03","0.10","-0.07","0.34","0.11","0.38"
"","Kamal Miller","POR","2024","CB","2229","-0.65","-0.01","1.27","0.14","-0.18","-0.19","0.38"
"","Derrick Williams","ATL","2024","CB","2543","0.43","-0.09","-0.01","-0.30","0.26","0.08","0.37"
"","Pedro Vite","VAN","2024","CM","2233","-0.16","-0.06","0.75","0.37","-0.56","0.01","0.37"
"","Robert Castellanos","SKC","2024","CB","1166","-0.07","0.11","-0.06","-0.00","0.30","0.08","0.37"
"","Moïse Bombito","COL","2024","CB","1762","-0.73","0.09","0.72","0.13","0.00","0.16","0.36"
"","Lawrence Ennali","HOU","2024","W","53","0.32","-0.01","-0.02","-0.01","0.03","0.05","0.36"
"","Georgi Minoungou","SEA","2024","W","424","0.45","-0.04","-0.02","-0.04","0.02","-0.00","0.36"
"","Philip Quinton","CLB, RSL","2024","CB","1507","-0.21","0.13","0.74","-0.17","-0.20","0.06","0.36"
"","Déiber Caicedo","VAN","2024","W","154","0.03","0.01","-0.06","-0.09","0.27","0.19","0.36"
"","Luis Abram","ATL","2024","CB","1308","-0.03","0.10","0.32","0.12","-0.17","0.01","0.35"
"","Max Arfsten","CLB","2024","FB","2184","0.86","0.13","-0.21","-1.80","0.76","0.61","0.35"
"","Javain Brown","VAN, RSL","2024","CB","1463","0.02","-0.17","0.50","-0.05","-0.06","0.11","0.34"
"","Shaq Moore","NSH","2024","FB","1883","-0.21","0.40","-0.11","-0.14","0.21","0.18","0.34"
"","Tyrese Spicer","TOR","2024","FB","1204","0.19","0.14","-0.27","-0.29","0.43","0.14","0.34"
"","Arnaud Souquet","CHI","2024","CB","2113","0.14","0.07","0.42","0.16","-0.36","-0.09","0.34"
"","Chidozie Awaziem","CIN","2024","CB","599","0.10","0.07","-0.43","0.42","0.16","0.01","0.34"
"","Jalen Neal","LAG","2024","CB","1562","0.04","0.24","-0.25","0.73","-0.25","-0.16","0.33"
"","Bret Halsey","CIN","2024","FB","611","0.07","-0.05","0.17","-0.35","0.36","0.11","0.33"
"","Martín Cáceres","LAG","2024","CB","1214","0.02","0.15","0.41","-0.12","-0.15","0.02","0.32"
"","Joaquín Fernández","SKC","2024","CB","122","0.02","0.01","0.22","0.00","0.01","0.03","0.29"
"","Belal Halbouni","VAN","2024","CB","189","0.13","0.01","0.08","0.02","-0.01","0.06","0.29"
"","Albert Rusnák","SEA","2024","AM","2798","0.22","-0.05","-0.27","1.12","-0.76","0.02","0.28"
