"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2024-10-19","21:00 EDT","ATX","3","2.01","2.02","COL","2","2.12","2.12","1","-0.11","-0.11","1","1.26","1.48"
"2024-10-19","21:00 EDT","FCD","1","0.50","0.50","SKC","1","1.85","1.93","0","-1.35","-1.43","1","0.38","2.43"
"2024-10-19","21:00 EDT","LAFC","3","1.77","1.77","SJE","1","1.52","1.52","2","0.25","0.25","2","1.50","1.25"
"2024-10-19","21:00 EDT","RSL","1","1.45","1.45","VAN","1","1.48","1.48","0","-0.02","-0.02","1","1.32","1.38"
"2024-10-19","21:00 EDT","SEA","1","0.96","0.97","POR","1","1.04","1.05","0","-0.08","-0.08","0","1.31","1.39"
"2024-10-19","21:00 EDT","MIN","3","2.62","2.65","STL","1","0.92","0.92","2","1.71","1.73","3","2.44","0.42"
"2024-10-19","21:00 EDT","HOU","2","1.71","1.76","LAG","1","2.65","2.92","1","-0.94","-1.16","1","0.77","2.04"
"2024-10-19","18:00 EDT","PHI","1","0.71","0.71","CIN","1","1.69","1.69","0","-0.98","-0.98","-1","0.56","2.22"
"2024-10-19","18:00 EDT","MIA","6","2.81","2.84","NER","2","1.70","1.70","4","1.11","1.13","4","2.10","0.70"
"2024-10-19","18:00 EDT","MTL","2","0.74","0.74","NYC","0","1.48","1.48","2","-0.74","-0.74","2","0.80","1.95"
"2024-10-19","18:00 EDT","ORL","1","1.56","1.57","ATL","2","1.75","1.75","-1","-0.19","-0.18","-1","1.11","1.62"
"2024-10-19","18:00 EDT","DCU","0","0.71","0.71","CLT","3","2.34","2.34","-3","-1.63","-1.63","-3","0.39","2.47"
"2024-10-19","18:00 EDT","NYRB","2","2.47","2.49","CLB","3","1.71","1.71","-1","0.76","0.77","-1","1.93","0.89"
"2024-10-19","18:00 EDT","CHI","0","1.05","1.06","NSH","3","2.40","2.40","-3","-1.35","-1.34","-3","0.54","2.27"
"2024-10-13","19:30 EDT","VAN","0","1.56","1.56","LAFC","2","1.04","1.05","-2","0.52","0.52","-1","1.75","0.98"
"2024-10-12","19:30 EDT","CLB","4","3.58","3.63","NER","0","0.32","0.32","4","3.26","3.31","4","2.91","0.05"
"2024-10-06","19:00 EDT","POR","0","2.46","2.59","FCD","0","1.60","1.75","0","0.87","0.84","0","1.89","0.90"
"2024-10-06","16:25 EDT","NYC","3","1.26","1.37","NSH","1","2.97","3.28","2","-1.71","-1.92","2","0.43","2.42"
"2024-10-05","22:30 EDT","LAG","2","1.97","1.97","ATX","1","1.25","1.26","1","0.72","0.71","1","1.88","0.91"
"2024-10-05","22:30 EDT","SJE","0","0.68","0.68","RSL","1","0.98","1.00","-1","-0.30","-0.32","-1","1.08","1.56"
"2024-10-05","21:30 EDT","COL","0","1.19","1.19","SEA","1","2.03","2.09","-1","-0.84","-0.89","-1","0.77","2.02"
"2024-10-05","20:30 EDT","SKC","0","0.60","0.60","LAFC","3","2.03","2.03","-3","-1.43","-1.43","-3","0.35","2.49"
"2024-10-05","20:30 EDT","STL","3","1.34","1.34","HOU","0","1.30","1.33","3","0.04","0.00","3","1.41","1.29"
"2024-10-05","19:30 EDT","NER","0","0.65","0.65","DCU","2","0.64","0.64","-2","0.01","0.01","-1","1.33","1.29"
"2024-10-05","19:30 EDT","ATL","2","2.29","2.29","NYRB","1","0.73","0.73","1","1.55","1.55","1","2.55","0.30"
"2024-10-05","19:30 EDT","CIN","1","1.30","1.31","ORL","3","1.68","1.68","-2","-0.38","-0.37","-2","1.02","1.68"
"2024-10-05","19:30 EDT","VAN","0","0.88","0.88","MIN","1","2.74","2.80","-1","-1.86","-1.92","-1","0.31","2.56"
"2024-10-05","19:30 EDT","CLT","2","1.78","2.07","MTL","0","0.52","0.52","2","1.25","1.55","2","2.41","0.40"
"2024-10-05","19:30 EDT","CLB","3","1.62","1.67","PHI","2","0.91","0.92","1","0.71","0.75","1","1.91","0.85"
"2024-10-05","16:00 EDT","TOR","0","1.12","1.12","MIA","1","0.36","0.36","-1","0.76","0.76","-1","2.03","0.67"
"2024-10-02","22:30 EDT","LAFC","1","2.55","2.55","STL","0","0.76","0.78","1","1.79","1.77","1","2.48","0.36"
"2024-10-02","22:30 EDT","VAN","0","1.07","1.08","SEA","3","2.01","2.02","-3","-0.94","-0.94","-3","0.64","2.13"
"2024-10-02","22:30 EDT","POR","0","2.68","2.82","ATX","1","0.30","0.30","-1","2.38","2.52","-1","2.77","0.14"
"2024-10-02","22:30 EDT","SJE","3","1.56","1.56","FCD","2","1.69","1.70","1","-0.14","-0.14","1","1.27","1.48"
"2024-10-02","21:30 EDT","COL","1","0.96","0.96","LAG","3","2.12","2.19","-2","-1.16","-1.23","-2","0.56","2.25"
"2024-10-02","21:30 EDT","RSL","0","0.54","0.54","MIN","0","0.86","0.87","0","-0.32","-0.33","0","1.00","1.62"
"2024-10-02","20:30 EDT","NSH","3","2.60","2.67","DCU","4","3.62","3.70","-1","-1.02","-1.03","-1","0.89","1.95"
"2024-10-02","20:30 EDT","HOU","2","2.91","3.06","NER","1","2.71","2.74","1","0.20","0.32","1","1.55","1.26"
"2024-10-02","19:45 EDT","CLB","2","1.90","1.90","MIA","3","1.06","1.06","-1","0.83","0.83","-1","2.08","0.66"
"2024-10-02","19:30 EDT","ORL","2","2.30","2.35","PHI","1","1.79","1.79","1","0.52","0.56","1","1.79","0.98"
"2024-10-02","19:30 EDT","TOR","1","1.94","1.97","NYRB","4","2.41","2.41","-3","-0.47","-0.44","-3","0.95","1.75"
"2024-10-02","19:30 EDT","CLT","4","3.11","3.20","CHI","3","1.75","2.04","1","1.36","1.16","1","2.20","0.62"
"2024-10-02","19:30 EDT","NYC","3","1.57","1.57","CIN","2","1.81","1.81","1","-0.24","-0.24","1","1.17","1.55"
"2024-10-02","19:30 EDT","ATL","1","1.85","1.85","MTL","2","0.95","0.95","-1","0.90","0.90","-1","1.96","0.80"
"2024-09-28","22:30 EDT","SEA","1","0.92","0.93","HOU","0","0.44","0.44","1","0.48","0.49","1","1.78","0.86"
"2024-09-28","22:30 EDT","VAN","1","0.98","0.98","POR","1","0.64","0.64","0","0.33","0.33","0","1.66","1.00"
"2024-09-28","20:30 EDT","MIN","3","1.61","1.62","COL","0","0.44","0.44","3","1.18","1.18","3","2.32","0.44"
"2024-09-28","20:30 EDT","ATX","2","1.35","1.36","RSL","2","2.57","2.78","0","-1.22","-1.41","0","0.62","2.18"
"2024-09-28","20:30 EDT","CHI","1","1.02","1.05","TOR","1","1.24","1.24","0","-0.22","-0.19","0","1.07","1.58"
"2024-09-28","20:30 EDT","STL","3","1.40","1.41","SKC","1","1.42","1.51","2","-0.02","-0.10","2","1.36","1.34"
"2024-09-28","20:30 EDT","FCD","1","1.55","1.56","ORL","3","1.96","1.99","-2","-0.41","-0.43","-2","1.05","1.69"
"2024-09-28","19:30 EDT","MTL","3","2.40","2.48","SJE","0","0.72","0.74","3","1.67","1.74","3","2.49","0.36"
"2024-09-28","19:30 EDT","NYRB","1","1.50","1.51","NYC","5","2.37","2.37","-4","-0.87","-0.86","-4","0.74","2.06"
"2024-09-28","19:30 EDT","DCU","2","2.58","2.61","CLB","2","1.69","1.74","0","0.89","0.87","0","2.02","0.80"
"2024-09-28","19:30 EDT","PHI","1","1.16","1.16","ATL","1","1.95","1.95","0","-0.79","-0.79","0","0.83","1.96"
"2024-09-28","19:30 EDT","MIA","1","3.00","3.04","CLT","1","1.31","1.35","0","1.68","1.70","0","2.39","0.47"
"2024-09-28","19:30 EDT","CIN","1","1.68","1.70","LAFC","2","1.87","1.89","-1","-0.18","-0.20","-1","1.24","1.53"
"2024-09-28","19:30 EDT","NER","1","0.78","0.78","NSH","0","0.94","0.94","1","-0.17","-0.17","1","1.12","1.54"
"2024-09-22","18:15 EDT","PHI","4","2.47","2.50","DCU","0","0.84","0.85","4","1.63","1.65","4","2.52","0.33"
"2024-09-21","22:30 EDT","SJE","1","1.14","1.14","STL","2","1.16","1.16","-1","-0.02","-0.02","-1","1.22","1.46"
"2024-09-21","22:30 EDT","LAG","3","1.27","1.27","VAN","2","1.36","1.36","1","-0.09","-0.09","2","1.24","1.47"
"2024-09-21","21:30 EDT","COL","2","2.65","2.65","TOR","0","1.14","1.21","2","1.51","1.45","2","2.48","0.35"
"2024-09-21","21:30 EDT","RSL","3","2.10","2.10","POR","3","0.71","0.72","0","1.38","1.39","0","2.35","0.46"
"2024-09-21","20:30 EDT","ATX","0","1.36","1.36","HOU","1","1.23","1.25","-1","0.13","0.11","-1","1.47","1.24"
"2024-09-21","20:30 EDT","FCD","3","1.35","1.36","LAFC","1","0.92","0.92","2","0.43","0.44","2","1.71","1.01"
"2024-09-21","20:30 EDT","NSH","2","0.84","0.84","CIN","2","0.81","0.81","0","0.03","0.03","0","1.35","1.29"
"2024-09-21","20:30 EDT","SKC","0","2.03","2.06","MIN","2","0.98","0.99","-2","1.05","1.07","-2","2.19","0.57"
"2024-09-21","19:30 EDT","CLB","4","1.56","1.56","ORL","3","2.60","2.99","1","-1.04","-1.43","1","0.68","2.14"
"2024-09-21","19:30 EDT","MTL","2","1.37","1.37","CHI","0","1.35","1.40","2","0.02","-0.03","2","1.35","1.38"
"2024-09-21","19:30 EDT","NYRB","2","2.78","2.79","ATL","2","1.52","1.52","0","1.26","1.27","0","2.19","0.60"
"2024-09-21","16:00 EDT","CLT","4","2.58","2.66","NER","0","1.61","1.63","4","0.97","1.03","4","2.01","0.81"
"2024-09-21","14:00 EDT","NYC","1","1.12","1.12","MIA","1","0.63","0.63","0","0.49","0.49","0","1.69","0.99"
"2024-09-18","22:30 EDT","POR","4","3.00","3.03","LAG","2","2.18","2.21","2","0.83","0.82","2","1.90","0.93"
"2024-09-18","22:30 EDT","SEA","2","1.13","1.13","SJE","2","1.38","1.38","0","-0.25","-0.25","0","1.04","1.62"
"2024-09-18","22:30 EDT","LAFC","1","0.87","0.87","ATX","1","0.92","0.92","0","-0.05","-0.05","0","1.27","1.40"
"2024-09-18","21:30 EDT","RSL","3","1.60","1.60","FCD","2","2.06","2.14","1","-0.46","-0.54","1","1.03","1.72"
"2024-09-18","20:30 EDT","HOU","1","1.40","1.40","VAN","1","1.29","1.30","0","0.12","0.10","0","1.46","1.25"
"2024-09-18","20:30 EDT","SKC","4","3.26","3.32","COL","1","0.81","0.82","3","2.45","2.50","3","2.74","0.17"
"2024-09-18","20:30 EDT","MIN","1","1.93","1.93","CIN","2","1.00","1.00","-1","0.93","0.93","-1","2.10","0.66"
"2024-09-18","20:30 EDT","NSH","1","0.39","0.40","CHI","0","0.59","0.59","1","-0.20","-0.19","1","1.04","1.50"
"2024-09-18","20:15 EDT","ORL","2","1.31","1.33","CLT","0","0.35","0.35","2","0.96","0.98","2","2.20","0.54"
"2024-09-18","19:30 EDT","ATL","2","1.90","1.96","MIA","2","1.22","1.28","0","0.68","0.68","0","1.90","0.87"
"2024-09-18","19:30 EDT","TOR","0","0.85","0.88","CLB","2","1.00","1.00","-2","-0.15","-0.12","-2","1.22","1.44"
"2024-09-18","19:30 EDT","NYC","1","2.45","2.47","PHI","5","1.95","1.98","-4","0.50","0.49","-4","1.68","1.11"
"2024-09-18","19:30 EDT","NER","2","1.44","1.47","MTL","2","0.60","0.61","0","0.83","0.86","0","2.00","0.72"
"2024-09-15","19:15 EDT","SEA","2","2.47","2.72","SKC","0","0.82","0.82","2","1.65","1.89","2","2.49","0.35"
"2024-09-14","22:30 EDT","LAG","4","2.31","2.49","LAFC","2","1.65","1.66","2","0.66","0.83","2","1.85","0.94"
"2024-09-14","22:30 EDT","VAN","2","2.76","2.77","SJE","0","0.89","0.89","2","1.88","1.88","2","2.52","0.35"
"2024-09-14","21:30 EDT","COL","2","1.55","1.58","POR","1","1.61","1.61","1","-0.06","-0.03","1","1.28","1.46"
"2024-09-14","20:30 EDT","CHI","2","1.77","1.88","NYRB","1","1.29","1.30","1","0.48","0.58","1","1.71","1.04"
"2024-09-14","20:30 EDT","HOU","4","1.61","1.64","RSL","0","1.01","1.01","4","0.60","0.63","3","1.82","0.93"
"2024-09-14","20:30 EDT","STL","1","1.51","1.51","MIN","2","1.86","1.91","-1","-0.35","-0.40","-2","1.12","1.61"
"2024-09-14","19:30 EDT","MTL","2","1.51","2.37","CLT","1","1.44","1.57","1","0.07","0.79","1","1.35","1.37"
"2024-09-14","19:30 EDT","ORL","3","2.09","2.10","NER","0","1.07","1.13","3","1.02","0.97","3","2.17","0.65"
"2024-09-14","19:30 EDT","TOR","2","1.06","1.06","ATX","1","3.24","3.35","1","-2.18","-2.30","1","0.25","2.64"
"2024-09-14","19:30 EDT","ATL","0","0.50","0.50","NSH","2","1.30","1.30","-2","-0.80","-0.80","-2","0.59","2.13"
"2024-09-14","19:30 EDT","CIN","0","0.43","0.43","CLB","0","1.42","1.42","0","-0.99","-0.99","0","0.52","2.26"
"2024-09-14","19:30 EDT","DCU","1","1.36","1.36","NYC","1","1.38","1.38","0","-0.02","-0.02","0","1.18","1.47"
"2024-09-14","19:30 EDT","MIA","3","0.94","0.95","PHI","1","2.60","2.61","2","-1.66","-1.66","2","0.37","2.48"
"2024-09-07","22:30 EDT","VAN","0","2.26","2.36","FCD","0","0.89","0.89","0","1.36","1.47","0","2.30","0.52"
"2024-09-07","20:30 EDT","HOU","0","1.05","1.05","LAFC","0","0.34","0.34","0","0.71","0.71","0","2.07","0.60"
"2024-09-07","20:30 EDT","CHI","1","0.78","0.78","DCU","2","0.54","0.54","-1","0.24","0.24","-1","1.68","0.94"
"2024-09-07","19:30 EDT","NER","2","1.06","1.09","STL","2","1.49","1.49","0","-0.43","-0.40","0","1.11","1.63"
"2024-09-07","19:30 EDT","NYRB","1","1.22","1.22","SKC","1","0.86","0.86","0","0.37","0.37","0","1.61","1.05"
"2024-09-07","19:30 EDT","CLB","0","0.38","0.38","SEA","4","2.13","2.13","-4","-1.75","-1.75","-4","0.22","2.67"
"2024-09-01","14:45 EDT","STL","2","0.71","0.72","LAG","1","0.97","0.97","1","-0.26","-0.25","1","1.11","1.53"
"2024-08-31","22:30 EDT","SJE","1","0.65","0.65","MIN","2","1.98","3.03","-1","-1.33","-2.38","-1","0.45","2.36"
"2024-08-31","22:30 EDT","POR","1","1.35","1.41","SEA","0","0.74","0.75","1","0.61","0.66","1","1.94","0.79"
"2024-08-31","22:30 EDT","LAFC","0","1.02","1.02","HOU","2","1.88","1.88","-2","-0.86","-0.87","-2","0.64","2.13"
"2024-08-31","21:30 EDT","RSL","2","1.88","1.93","NER","0","0.62","0.62","2","1.26","1.30","2","2.38","0.44"
"2024-08-31","20:30 EDT","CHI","1","1.60","1.60","MIA","3","1.86","1.86","-2","-0.26","-0.26","-3","1.16","1.59"
"2024-08-31","20:30 EDT","FCD","2","2.32","2.36","COL","3","2.86","3.43","-1","-0.54","-1.07","-1","0.96","1.84"
"2024-08-31","20:30 EDT","ATX","0","0.49","0.49","VAN","1","1.03","1.04","-1","-0.55","-0.55","-1","0.80","1.84"
"2024-08-31","19:30 EDT","NYRB","0","1.79","1.81","PHI","2","0.97","0.97","-2","0.82","0.84","-2","1.95","0.81"
"2024-08-31","19:30 EDT","CIN","4","1.71","1.71","MTL","1","1.06","1.06","3","0.65","0.65","3","1.85","0.90"
"2024-08-31","19:30 EDT","CLB","4","2.76","2.94","NYC","2","1.48","1.49","2","1.28","1.46","2","2.19","0.62"
"2024-08-31","19:30 EDT","ORL","3","1.79","1.80","NSH","0","1.96","1.97","3","-0.18","-0.17","3","1.31","1.47"
"2024-08-31","19:30 EDT","CLT","0","1.00","1.00","ATL","1","2.02","2.15","-1","-1.01","-1.15","-1","0.73","2.06"
"2024-08-31","19:30 EDT","TOR","1","0.48","0.48","DCU","3","1.62","1.63","-2","-1.14","-1.15","-2","0.45","2.33"
"2024-08-28","19:30 EDT","PHI","0","1.11","1.11","CLB","1","1.23","1.23","-1","-0.11","-0.11","-1","1.28","1.45"
"2024-08-24","22:30 EDT","POR","4","4.30","4.41","STL","4","1.66","1.67","0","2.64","2.73","0","2.73","0.21"
"2024-08-24","22:30 EDT","LAG","2","3.55","3.70","ATL","0","1.42","1.43","2","2.12","2.27","2","2.60","0.29"
"2024-08-24","21:30 EDT","RSL","0","0.71","0.71","SJE","2","1.95","1.95","-2","-1.24","-1.24","-2","0.46","2.35"
"2024-08-24","20:30 EDT","HOU","0","1.79","1.95","TOR","1","0.76","0.77","-1","1.03","1.18","-1","2.12","0.68"
"2024-08-24","20:30 EDT","NSH","0","2.18","2.21","ATX","2","1.88","1.92","-2","0.30","0.29","-2","1.57","1.18"
"2024-08-24","20:30 EDT","SKC","3","1.07","1.07","ORL","0","1.19","1.21","3","-0.12","-0.15","3","1.26","1.43"
"2024-08-24","19:30 EDT","DCU","3","1.74","1.76","FCD","4","2.67","2.67","-1","-0.93","-0.91","-1","0.73","2.09"
"2024-08-24","19:30 EDT","CLT","1","1.21","1.21","NYRB","1","2.46","2.48","0","-1.26","-1.27","0","0.54","2.24"
"2024-08-24","19:30 EDT","MTL","0","0.86","0.86","NER","5","2.53","2.53","-5","-1.67","-1.67","-5","0.37","2.51"
"2024-08-24","19:30 EDT","MIA","2","0.55","0.55","CIN","0","1.72","1.73","2","-1.17","-1.18","2","0.49","2.29"
"2024-08-24","19:30 EDT","NYC","2","1.04","1.05","CHI","2","1.59","1.59","0","-0.55","-0.55","0","0.90","1.80"
"2024-08-24","18:45 EDT","MIN","2","2.13","2.16","SEA","3","1.26","1.39","-1","0.87","0.77","-1","2.02","0.75"
"2024-07-20","22:45 EDT","LAG","3","1.32","1.32","POR","2","1.52","1.52","1","-0.19","-0.20","1","1.23","1.51"
"2024-07-20","22:30 EDT","SEA","0","1.60","1.79","LAFC","3","1.86","2.26","-3","-0.26","-0.47","-3","1.19","1.55"
"2024-07-20","22:30 EDT","VAN","3","3.23","3.23","HOU","4","1.76","1.80","-1","1.47","1.43","-1","2.32","0.51"
"2024-07-20","21:30 EDT","COL","3","1.93","1.93","RSL","2","0.78","0.78","1","1.15","1.15","1","2.35","0.44"
"2024-07-20","20:30 EDT","MIN","1","1.15","1.24","SJE","0","1.49","1.49","1","-0.34","-0.25","2","1.10","1.63"
"2024-07-20","20:30 EDT","ATX","2","2.41","2.41","CLT","2","2.43","2.43","0","-0.02","-0.02","0","1.44","1.32"
"2024-07-20","20:30 EDT","SKC","1","2.25","2.28","STL","1","1.40","1.45","0","0.85","0.83","0","1.89","0.85"
"2024-07-20","19:30 EDT","NER","1","1.53","1.54","FCD","1","1.25","1.32","0","0.28","0.22","0","1.63","1.08"
"2024-07-20","19:30 EDT","NYRB","3","2.52","2.53","CIN","1","0.59","0.59","2","1.93","1.93","2","2.67","0.22"
"2024-07-20","19:30 EDT","MIA","2","2.08","2.14","CHI","1","0.85","0.85","1","1.23","1.28","1","2.22","0.60"
"2024-07-20","19:30 EDT","ORL","1","0.76","0.76","NYC","1","0.77","0.77","0","-0.01","-0.01","0","1.37","1.28"
"2024-07-20","19:30 EDT","ATL","2","2.11","2.11","CLB","1","1.43","1.43","1","0.68","0.68","1","1.90","0.88"
"2024-07-20","19:30 EDT","MTL","0","1.75","1.80","TOR","1","1.02","1.02","-1","0.72","0.77","-1","1.94","0.80"
"2024-07-20","19:30 EDT","PHI","3","3.88","3.97","NSH","0","1.29","1.36","3","2.60","2.61","3","2.75","0.19"
"2024-07-17","22:45 EDT","LAFC","1","0.76","0.76","RSL","1","1.40","1.41","0","-0.64","-0.64","0","0.85","1.85"
"2024-07-17","22:30 EDT","SEA","1","1.55","1.72","STL","0","0.72","0.72","1","0.84","1.01","2","2.10","0.67"
"2024-07-17","22:30 EDT","SJE","0","0.69","0.69","HOU","1","1.57","1.59","-1","-0.88","-0.90","-1","0.72","2.01"
"2024-07-17","22:30 EDT","LAG","3","2.08","2.09","COL","2","2.40","2.40","1","-0.32","-0.31","1","1.17","1.58"
"2024-07-17","22:30 EDT","VAN","1","1.35","1.35","SKC","1","1.31","1.36","0","0.04","-0.01","1","1.40","1.30"
"2024-07-17","20:30 EDT","NSH","0","0.47","0.47","ORL","2","1.30","1.31","-2","-0.83","-0.83","-3","0.67","2.04"
"2024-07-17","20:30 EDT","FCD","3","1.83","1.83","ATX","1","0.76","0.77","2","1.07","1.06","2","2.23","0.55"
"2024-07-17","20:30 EDT","MIN","2","0.70","0.70","DCU","3","1.70","1.70","-1","-1.00","-1.00","-1","0.50","2.25"
"2024-07-17","19:30 EDT","ATL","2","2.15","2.18","NYC","2","1.77","1.77","0","0.38","0.41","0","1.61","1.14"
"2024-07-17","19:30 EDT","PHI","5","1.69","1.69","NER","1","0.23","0.23","4","1.47","1.47","4","2.50","0.30"
"2024-07-17","19:30 EDT","MIA","3","0.88","0.88","TOR","1","0.73","0.73","2","0.15","0.15","2","1.44","1.22"
"2024-07-17","19:30 EDT","CIN","0","1.87","2.03","CHI","1","1.47","1.47","-1","0.40","0.56","-1","1.62","1.14"
"2024-07-17","19:30 EDT","NYRB","1","1.70","1.71","MTL","2","1.28","1.29","-1","0.41","0.42","0","1.77","0.96"
"2024-07-17","19:30 EDT","CLB","1","1.77","1.88","CLT","1","1.64","1.74","0","0.13","0.14","0","1.50","1.27"
"2024-07-13","22:30 EDT","SJE","0","0.67","0.67","SKC","2","1.07","1.09","-2","-0.40","-0.42","-1","1.00","1.68"
"2024-07-13","22:30 EDT","LAFC","1","1.49","1.49","CLB","5","2.04","2.04","-4","-0.56","-0.55","-4","1.02","1.75"
"2024-07-13","22:25 EDT","POR","3","2.17","2.23","RSL","0","0.90","0.90","3","1.27","1.33","3","2.26","0.55"
